Date,Channel,Campaign,Cost,Impressions,Clicks,Installs,Revenue
2026-08-01,Google,Search Brand,120000,30000,1800,180,360000
2026-08-01,Meta,Prospecting,150000,45000,1350,135,270000
2026-08-02,Google,Search Brand,124000,31000,1860,186,372000
2026-08-02,Meta,Prospecting,148000,44000,1320,132,264000
2026-08-03,Google,Search Brand,128000,32000,1920,192,384000
2026-08-03,Meta,Prospecting,146000,43000,1290,129,258000
2026-08-04,Google,Search Brand,132000,33000,1980,198,396000
2026-08-04,Meta,Prospecting,144000,42000,1260,126,252000
2026-08-05,Google,Search Brand,136000,34000,2040,204,408000
2026-08-05,Meta,Prospecting,142000,41000,1230,123,246000
2026-08-06,Google,Search Brand,140000,35000,2100,210,420000
2026-08-06,Meta,Prospecting,140000,40000,1200,120,240000
2026-08-07,Google,Search Brand,144000,36000,2160,216,432000
2026-08-07,Meta,Prospecting,138000,39000,1170,117,234000
2026-08-08,Google,Search Brand,148000,37000,2220,222,444000
2026-08-08,Meta,Prospecting,136000,38000,1140,114,228000
